PLAYER_ID,TEAM_ID,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PACE_PER40,PIE,POSS,FGM_PG,FGA_PG,PLAYER_NAME,BIRTHDATE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,Salary,Followers,TEAM_ABBREVIATION,record,active_players,avg_team_age,total_cap_used,remaining_cap_space,active_cap,active_top_3,dead_cap,TEAM_NAME,OWNER_NET_WORTH_B,Stadium_Name,Capacity,City,STADIUM_YEAR_OPENED,STADIUM_COST,Age,YOS,GP,MIN,PTS,Contract_Type
2544,1610612747,112.7,114,-1.3,0.395,2.21,25.6,0.031,0.187,0.112,11.6,0.571,0.604,0.291,100.62,83.85,0.169,5129,9.3,18.1,LeBron James,12/30/1984,USA,2003,1,1,48728845,158300000,LAL,50-32,15,27.7,200785985,60197985,182745885,108760785,5514986,Los Angeles Lakers ,30,Crypto.com Arena,19068,"Los Angeles, CA",1999,375000000,40,21,70,2444.446667,1710,Max_Contract
101108,1610612759,114.2,115,-0.8,0.342,4.69,45,0.014,0.11,0.062,9.6,0.547,0.58,0.137,100.48,83.74,0.102,4817,3,7.1,Chris Paul,5/6/1985,USA,2005,1,4,10983000,11500000,SAS,34-48,15,25.2,162809380,22221380,155231927,83196166,7577453,San Antonio Spurs ,0.2,Frost Bank Center,18418,"San Antonio, TX",2002,175000000,39,19,82,2292.163333,723,Free_Market
200768,1610612755,103.8,109.6,-5.8,0.206,4.57,38.4,0.016,0.086,0.05,8.4,0.474,0.525,0.1,99.28,82.74,0.067,1368,1.2,3.3,Kyle Lowry,3/25/1986,USA,2006,1,24,2087519,1400000,PHI,24-58,15,26.6,170340647,29752647,169548876,135768738,791771,Philidelphia 76ers,11.2,Wells Fargo Center,20478,"Philadelphia, PA",1996,210000000,38,18,35,659.4483333,138,Free_Market
200782,1610612752,106.1,127.4,-21.3,0,0,0,0.062,0.103,0.077,12.5,0.643,0.643,0.059,94.56,78.8,0.015,115,1,2.3,P.J. Tucker,5/5/1985,USA,2006,2,35,246833,997300,NYK,51-31,15,26.5,188877651,48289651,188001268,110803733,876383,New York Knicks,2,Madison Square Garden,19812,"New York, NY",1968,100000000,39,18,3,57.86833333,9,Free_Market
201142,1610612756,116.5,117.4,-1,0.188,1.38,15.2,0.011,0.147,0.084,11,0.598,0.642,0.283,99.49,82.91,0.142,4697,9.5,18.1,Kevin Durant,9/29/1988,USA,2007,1,2,51179021,13700000,HOU,52-30,15,25.7,173496349,32908349,161552948,78702108,7768363,Pheonix Suns,10,Toyota Center,18055,"Houston, TX",2003,235000000,36,17,62,2264.685,1647,Max_Contract
201143,1610612738,119.6,108.1,11.5,0.102,2.78,19.6,0.046,0.165,0.106,7,0.547,0.563,0.136,97.75,81.46,0.091,3381,3.3,7.7,Al Horford,6/3/1986,Dominican Republic,2007,1,3,9500000,773700,BOS,61-21,15,27.5,197048229,56460229,193098445,114054140,3705899,Boston Celtics,7.5,TD Garden,19156,"Boston, MA",1995,160000000,38,17,60,1658.573333,538,Free_Market
201144,1610612750,115.5,109,6.5,0.243,4.25,35.6,0.018,0.085,0.052,8.4,0.535,0.573,0.141,97.92,81.6,0.092,3596,2.6,6.6,Mike Conley,10/11/1987,USA,2007,1,4,9975962,585900,MIN,49-33,15,26.1,236725861,96137861,198847571,119077906,3705899,Minnesota Timberwolves,2.9,Target Center,18978,"Minneapolis, MN",1990,104000000,37,17,71,1755.85,582,Free_Market
201145,1610612745,112.2,116.1,-3.9,0.068,2.22,12.4,0.024,0.108,0.065,5.6,0.624,0.649,0.144,100.43,83.69,0.085,827,1.9,3.8,Jeff Green,8/28/1986,USA,2007,1,5,8000000,0,DEN,50-32,15,26,192786656,52198656,182574315,123292088,791771,Denver Nuggets,16.9,Ball Arena,19520,"Denver, CO",1999,187000000,38,17,32,396.4466667,172,Free_Market
201566,1610612743,115.7,116.2,-0.6,0.289,1.89,27.9,0.05,0.119,0.086,14.8,0.505,0.532,0.23,103.3,86.09,0.093,4504,5,11.1,Russell Westbrook,11/12/1988,USA,2008,1,4,3303771,22700000,DEN,50-32,15,26,192786656,52198656,182574315,123292088,791771,Denver Nuggets,16.9,Ball Arena,19520,"Denver, CO",1999,187000000,36,16,75,2092.291667,994,Vet_Minimum
201567,1610612748,108.7,112.3,-3.6,0.134,1.57,13.6,0.08,0.282,0.177,8.6,0.461,0.488,0.23,103.56,86.3,0.109,540,1.8,5,Kevin Love,9/7/1988,USA,2008,1,5,3850000,3500000,MIA,37-45,15,26.6,179350729,38762729,173088172,90125126,791771,Miami Heat,8.6,Kaseya Center,19600,"Miami, FL",1999,213000000,36,16,23,251.4533333,122,Free_Market
