PLAYER_ID,TEAM_ID,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PACE_PER40,PIE,POSS,FGM_PG,FGA_PG,PLAYER_NAME,BIRTHDATE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,Salary,Followers,TEAM_ABBREVIATION,record,active_players,avg_team_age,total_cap_used,remaining_cap_space,active_cap,active_top_3,dead_cap,TEAM_NAME,OWNER_NET_WORTH_B,Stadium_Name,Capacity,City,STADIUM_YEAR_OPENED,STADIUM_COST,Age,YOS,Contract_Type,GP,MIN,PTS,AVG_SPEED,DIST_MILES,ALL_STAR_APPEARANCES,ISO_PTS,ISO_PPP,PNR_PTS,PNR_PPP,POST_PTS,POST_PPP,CLUTCH_PTS,CLUTCH_GP,RIM_DFG_PCT,RIM_CONTEST_FREQ,is_USA,Player_bias_effect
2544,1610612747,112.7,114.0,-1.3,0.395,2.21,25.6,0.031,0.187,0.112,11.6,0.571,0.604,0.291,100.62,83.85,0.169,5129,9.3,18.1,LeBron James,12/30/1984,USA,2003,1,1,48728845,18.88000253116836,LAL,50-32,15,27.7,200785985,60197985,182745885,108760785,5514986,Los Angeles Lakers ,3.4339872044851463,Crypto.com Arena,19068,"Los Angeles, CA",1999,375000000,40.930869267624914,21,Max_Contract,70,2444.446667,1710,3.64,159.2,24,257,0.924,264,0.889,219,1.014,87,34,0.647,0.311,1,0.77714901173519
101108,1610612759,114.2,115.0,-0.8,0.342,4.69,45.0,0.014,0.11,0.062,9.6,0.547,0.58,0.137,100.48,83.74,0.102,4817,3.0,7.1,Chris Paul,5/6/1985,USA,2005,1,4,10983000,16.257857680289998,SAS,34-48,15,25.2,162809380,22221380,155231927,83196166,7577453,San Antonio Spurs ,0.18232155679395465,Frost Bank Center,18418,"San Antonio, TX",2002,175000000,40.58316221765914,19,Free_Market,82,2292.163333,723,3.66,149.2,13,80,0.86,271,0.938,0,0.0,50,30,0.622,0.384,1,0.9668085292827059
200768,1610612755,103.8,109.6,-5.8,0.206,4.57,38.4,0.016,0.086,0.05,8.4,0.474,0.525,0.1,99.28,82.74,0.067,1368,1.2,3.3,Kyle Lowry,3/25/1986,USA,2006,1,24,2087519,14.151983508870947,PHI,24-58,15,26.6,170340647,29752647,169548876,135768738,791771,Philidelphia 76ers,2.501435951739211,Wells Fargo Center,20478,"Philadelphia, PA",1996,210000000,39.69883641341547,18,Free_Market,35,659.4483333,138,3.92,46.6,6,0,0.0,16,0.593,0,0.0,3,8,0.635,0.35,1,0.24668634650638654
200782,1610612752,106.1,127.4,-21.3,0.0,0.0,0.0,0.062,0.103,0.077,12.5,0.643,0.643,0.059,94.56,78.8,0.015,115,1.0,2.3,P.J. Tucker,5/5/1985,USA,2006,2,35,246833,13.812807909096767,NYK,51-31,15,26.5,188877651,48289651,188001268,110803733,876383,New York Knicks,1.0986122886681098,Madison Square Garden,19812,"New York, NY",1968,100000000,40.58590006844627,18,Free_Market,3,57.86833333,9,3.97,4.2,0,0,0.0,0,0.0,0,0.0,0,2,0.714,0.318,1,2.104383213580888
201142,1610612756,116.5,117.4,-1.0,0.188,1.38,15.2,0.011,0.147,0.084,11.0,0.598,0.642,0.283,99.49,82.91,0.142,4697,9.5,18.1,Kevin Durant,9/29/1988,USA,2007,1,2,51179021,16.432906463791053,HOU,52-30,15,25.7,173496349,32908349,161552948,78702108,7768363,Pheonix Suns,2.3978952727983707,Toyota Center,18055,"Houston, TX",2003,235000000,37.18275154004107,17,Max_Contract,62,2264.685,1647,3.74,150.8,17,320,1.155,214,0.915,107,0.899,100,32,0.56,0.293,1,0.5975160683000041
201143,1610612738,119.6,108.1,11.5,0.102,2.78,19.6,0.046,0.165,0.106,7.0,0.547,0.563,0.136,97.75,81.46,0.091,3381,3.3,7.7,Al Horford,6/3/1986,Dominican Republic,2007,1,3,9500000,13.55894077302734,BOS,61-21,15,27.5,197048229,56460229,193098445,114054140,3705899,Boston Celtics,2.1400661634962708,TD Garden,19156,"Boston, MA",1995,160000000,39.507186858316224,17,Free_Market,60,1658.573333,538,3.98,114.9,5,0,0.0,0,0.0,43,0.977,25,24,0.597,0.327,0,0.8899927985335881
201144,1610612750,115.5,109.0,6.5,0.243,4.25,35.6,0.018,0.085,0.052,8.4,0.535,0.573,0.141,97.92,81.6,0.092,3596,2.6,6.6,Mike Conley,10/11/1987,USA,2007,1,4,9975962,13.280906112307324,MIN,49-33,15,26.1,236725861,96137861,198847571,119077906,3705899,Minnesota Timberwolves,1.3609765531356006,Target Center,18978,"Minneapolis, MN",1990,104000000,38.15195071868583,17,Free_Market,71,1755.85,582,4.35,135.6,1,12,0.75,147,0.87,0,0.0,17,28,0.609,0.331,1,0.7650745206005555
201145,1610612745,112.2,116.1,-3.9,0.068,2.22,12.4,0.024,0.108,0.065,5.6,0.624,0.649,0.144,100.43,83.69,0.085,827,1.9,3.8,Jeff Green,8/28/1986,USA,2007,1,5,8000000,0.0,DEN,50-32,15,26.0,192786656,52198656,182574315,123292088,791771,Denver Nuggets,2.884800712846709,Ball Arena,19520,"Denver, CO",1999,187000000,39.27173169062286,17,Free_Market,32,396.4466667,172,3.95,27.8,0,0,0.0,0,0.0,0,0.0,0,3,0.746,0.383,1,-0.14493282288191514
201566,1610612743,115.7,116.2,-0.6,0.289,1.89,27.9,0.05,0.119,0.086,14.8,0.505,0.532,0.23,103.3,86.09,0.093,4504,5.0,11.1,Russell Westbrook,11/12/1988,USA,2008,1,4,3303771,16.937875526504495,DEN,50-32,15,26.0,192786656,52198656,182574315,123292088,791771,Denver Nuggets,2.884800712846709,Ball Arena,19520,"Denver, CO",1999,187000000,37.06228610540725,16,Vet_Minimum,75,2092.291667,994,3.93,145.3,11,105,0.897,151,0.637,35,0.745,24,32,0.686,0.34,1,0.2735077069752763
201567,1610612748,108.7,112.3,-3.6,0.134,1.57,13.6,0.08,0.282,0.177,8.6,0.461,0.488,0.23,103.56,86.3,0.109,540,1.8,5.0,Kevin Love,9/7/1988,USA,2008,1,5,3850000,15.068273812173887,MIA,37-45,15,26.6,179350729,38762729,173088172,90125126,791771,Miami Heat,2.2617630984737906,Kaseya Center,19600,"Miami, FL",1999,213000000,37.242984257357975,16,Free_Market,23,251.4533333,122,4.09,18.3,5,0,0.0,0,0.0,13,1.083,0,5,0.623,0.482,1,0.6242024303722566
