Player,Followers
LeBron James,158300000
Stephen Curry,58100000
Russell Westbrook,22700000
Kyrie Irving,20300000
Lonzo Ball,17900000
Klay Thompson,16800000
Giannis Antetokounmpo,16100000
Kevin Durant,13700000
Chris Paul,11500000
Luka Doncic,10500000
LaMelo Ball,10500000
Jimmy Butler,10000000
Damian Lillard,10000000
Paul George,9700000
Ja Morant,9500000
Bronny James,7700000
Jayson Tatum,7300000
Joel Embiid,7200000
Ben Simmons,7100000
Anthony Davis,7000000
Devin Booker,5600000
Dennis Schroder,5500000
Trae Young,5000000
Victor Wembanyama,5000000
Zion Williamson,5000000
Anthony Edwards,4900000
Shai Gilgeous-Alexander,4700000
Kyle Kuzma,4600000
Karl-Anthony Towns,4400000
Draymond Green,4100000
Jaylen Brown,4000000
Donovan Mitchell,3800000
Tristan Thompson,3700000
D'Angelo Russell,3700000
Kevin Love,3500000
DeMar DeRozan,3300000
Jalen Green,2400000
Jordan Poole,2300000
Zach LaVine,2300000
Tyler Herro,2300000
Tyrese Haliburton,2200000
Brandon Ingram,2100000
Andrew Wiggins,2100000
Jordan Clarkson,2000000
Seth Curry,2000000
DeAndre Jordan,1800000
Kristaps Porzingis,1600000
Austin Reaves,1500000
De'Aaron Fox,1500000
Alex Caruso,1400000
Dejounte Murray,1400000
"Kelly Oubre, Jr.",1400000
Kyle Lowry,1400000
Kentavious Caldwell-Pope,1300000
Jamal Murray,1300000
Aaron Gordon,1300000
Bradley Beal,1300000
Mac McClung,1300000
Andre Drummond,1300000
C.J. McCollum,1200000
Alperen Sengun,1200000
R.J. Barrett,1100000
Bam Adebayo,1100000
Brandon Williams,1100000
Rob Dillingham,1100000
Paolo Banchero,1100000
Rui Hachimura,998100
P.J. Tucker,997300
Julius Randle,992100
Josh Hart,988400
Yuki Kawamura,979600
Harrison Barnes,960600
Chet Holmgren,953500
Jalen Brunson,922300
Bol Bol,907400
Jrue Holiday,875300
P.J. Washington,868300
Pascal Siakam,852600
Bogdan Bogdanovic,847800
Rudy Gobert,821000
