PLAYER_ID,PLAYER_NAME,BIRTHDATE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER
1630639,A.J. Lawson,2000-07-15T00:00:00,Canada,Undrafted,Undrafted,Undrafted
1631260,AJ Green,1999-09-27T00:00:00,USA,Undrafted,Undrafted,Undrafted
1642358,AJ Johnson,2004-12-01T00:00:00,USA,2024,1,23
203932,Aaron Gordon,1995-09-16T00:00:00,USA,2014,1,4
1628988,Aaron Holiday,1996-09-30T00:00:00,USA,2018,1,23
1630174,Aaron Nesmith,1999-10-16T00:00:00,USA,2020,1,14
1630598,Aaron Wiggins,1999-01-02T00:00:00,USA,2021,2,55
1641745,Adam Flagler,1999-12-01T00:00:00,USA,Undrafted,Undrafted,Undrafted
1641766,Adama Sanogo,2002-02-12T00:00:00,Mali,Undrafted,Undrafted,Undrafted
1641737,Adem Bona,2003-03-28T00:00:00,Nigeria,2024,2,41
1642349,Ajay Mitchell,2002-06-25T00:00:00,Belgium,2024,2,38
201143,Al Horford,1986-06-03T00:00:00,Dominican Republic,2007,1,3
202692,Alec Burks,1991-07-20T00:00:00,USA,2011,1,12
1627936,Alex Caruso,1994-02-28T00:00:00,USA,Undrafted,Undrafted,Undrafted
1642505,Alex Ducas,2000-12-11T00:00:00,Australia,Undrafted,Undrafted,Undrafted
203458,Alex Len,1993-06-16T00:00:00,Ukraine,2013,1,5
1642024,Alex Reese,1999-05-21T00:00:00,USA,Undrafted,Undrafted,Undrafted
1642259,Alex Sarr,2005-04-26T00:00:00,France,2024,1,2
1631214,Alondes Williams,1999-06-19T00:00:00,USA,Undrafted,Undrafted,Undrafted
1630578,Alperen Sengun,2002-07-25T00:00:00,Turkey,2021,1,16
1641708,Amen Thompson,2003-01-30T00:00:00,USA,2023,1,4
1629599,Amir Coffey,1997-06-17T00:00:00,USA,Undrafted,Undrafted,Undrafted
203083,Andre Drummond,1993-08-10T00:00:00,USA,2012,1,9
1641748,Andre Jackson Jr.,2001-11-13T00:00:00,USA,2023,2,36
1629614,Andrew Nembhard,2000-01-16T00:00:00,Canada,2022,2,31
203952,Andrew Wiggins,1995-02-23T00:00:00,Canada,2014,1,1
1629014,Anfernee Simons,1999-06-08T00:00:00,USA,2018,1,24
1641710,Anthony Black,2004-01-20T00:00:00,USA,2023,1,6
203076,Anthony Davis,1993-03-11T00:00:00,USA,2012,1,1
1630162,Anthony Edwards,2001-08-05T00:00:00,USA,2020,1,1
1630264,Anthony Gill,1992-10-17T00:00:00,USA,Undrafted,Undrafted,Undrafted
1641817,Anton Watson,2000-10-06T00:00:00,USA,2024,2,54
1641810,Antonio Reeves,2000-11-20T00:00:00,USA,2024,2,47
1630574,Ariel Hukporti,2002-04-12T00:00:00,Germany,2024,2,58
1642422,Armel Traoré,2003-01-23T00:00:00,France,Undrafted,Undrafted,Undrafted
1641709,Ausar Thompson,2003-01-30T00:00:00,USA,2023,1,5
1630559,Austin Reaves,1998-05-29T00:00:00,USA,Undrafted,Undrafted,Undrafted
1630245,Ayo Dosunmu,2000-01-17T00:00:00,USA,2021,2,38
1628389,Bam Adebayo,1997-07-18T00:00:00,USA,2017,1,14
1631248,Baylor Scheierman,2000-09-26T00:00:00,USA,2024,1,30
1641767,Ben Sheppard,2001-07-16T00:00:00,USA,2023,1,26
1627732,Ben Simmons,1996-07-20T00:00:00,Australia,2016,1,1
1631097,Bennedict Mathurin,2002-06-19T00:00:00,Canada,2022,1,6
1641731,Bilal Coulibaly,2004-07-26T00:00:00,France,2023,1,7
202687,Bismack Biyombo,1992-08-28T00:00:00,DRC,2011,1,7
1631104,Blake Wesley,2003-03-16T00:00:00,USA,2022,1,25
1626171,Bobby Portis,1995-02-10T00:00:00,USA,2015,1,22
1641752,Bobi Klintman,2003-03-06T00:00:00,Sweden,2024,2,37
203992,Bogdan Bogdanović,1992-08-18T00:00:00,Serbia,2014,1,27
1629626,Bol Bol,1999-11-16T00:00:00,Sudan,2019,2,44
1630538,Bones Hyland,2000-09-14T00:00:00,USA,2021,1,26
203078,Bradley Beal,1993-06-28T00:00:00,USA,2012,1,3
1642382,Branden Carlson,1999-06-14T00:00:00,USA,Undrafted,Undrafted,Undrafted
1641764,Brandin Podziemski,2003-02-25T00:00:00,USA,2023,1,19
1630527,Brandon Boston,2001-11-28T00:00:00,USA,2021,2,51
1629634,Brandon Clarke,1996-09-19T00:00:00,Canada,2019,1,21
1627742,Brandon Ingram,1997-09-02T00:00:00,USA,2016,1,2
1641706,Brandon Miller,2002-11-22T00:00:00,USA,2023,1,2
1630314,Brandon Williams,1999-11-22T00:00:00,USA,Undrafted,Undrafted,Undrafted
1630296,Braxton Key,1997-02-14T00:00:00,USA,Undrafted,Undrafted,Undrafted
1641729,Brice Sensabaugh,2003-10-30T00:00:00,USA,2023,1,28
1642355,Bronny James,2004-10-06T00:00:00,USA,2024,2,55
201572,Brook Lopez,1988-04-01T00:00:00,USA,2008,1,10
1628971,Bruce Brown,1996-08-15T00:00:00,USA,2018,2,42
1628981,Bruno Fernando,1998-08-15T00:00:00,Angola,2019,2,34
1631121,Bryce McGowens,2002-11-08T00:00:00,USA,2022,2,40
1642267,Bub Carrington,2005-07-21T00:00:00,USA,2024,1,14
1627741,Buddy Hield,1992-12-17T00:00:00,Bahamas,2016,1,6
203468,CJ McCollum,1991-09-19T00:00:00,USA,2013,1,10
1630595,Cade Cunningham,2001-09-25T00:00:00,USA,2021,1,1
1631216,Caleb Houstan,2003-01-09T00:00:00,Canada,2022,2,32
1628997,Caleb Martin,1995-09-28T00:00:00,USA,Undrafted,Undrafted,Undrafted
1642353,Cam Christie,2005-07-24T00:00:00,USA,2024,2,46
1629629,Cam Reddish,1999-09-01T00:00:00,USA,2019,1,10
1642285,Cam Spencer,2000-04-06T00:00:00,USA,2024,2,53
1630560,Cam Thomas,2001-10-13T00:00:00,Japan,2021,1,27
1641715,Cam Whitmore,2004-07-08T00:00:00,USA,2023,1,20
1629661,Cameron Johnson,1996-03-03T00:00:00,USA,2019,1,11
1626166,Cameron Payne,1994-08-08T00:00:00,USA,2015,1,14
1627747,Caris LeVert,1994-08-25T00:00:00,USA,2016,1,20
1641717,Cason Wallace,2003-11-07T00:00:00,USA,2023,1,10
1629646,Charles Bassey,2000-10-28T00:00:00,Nigeria,2021,2,53
1631096,Chet Holmgren,2002-05-01T00:00:00,USA,2022,1,2
1628449,Chris Boucher,1993-01-11T00:00:00,Saint Lucia,Undrafted,Undrafted,Undrafted
1630537,Chris Duarte,1997-06-13T00:00:00,Dominican Republic,2021,1,13
1641753,Chris Livingston,2003-10-15T00:00:00,USA,2023,2,58
101108,Chris Paul,1985-05-06T00:00:00,USA,2005,1,4
1631128,Christian Braun,2001-04-17T00:00:00,USA,2022,1,21
1631132,Christian Koloko,2000-06-20T00:00:00,Cameroon,2022,2,33
1629643,Chuma Okeke,1998-08-18T00:00:00,USA,2019,1,16
203991,Clint Capela,1994-05-18T00:00:00,Switzerland,2014,1,25
1629632,Coby White,2000-02-16T00:00:00,USA,2019,1,7
1628998,Cody Martin,1995-09-28T00:00:00,USA,2019,2,36
1642262,Cody Williams,2004-11-20T00:00:00,USA,2024,1,10
1641732,Colby Jones,2002-05-28T00:00:00,USA,2023,2,34
1630175,Cole Anthony,2000-05-15T00:00:00,USA,2020,1,15
1631306,Cole Swider,1999-05-08T00:00:00,USA,Undrafted,Undrafted,Undrafted
1630658,Colin Castleton,2000-05-25T00:00:00,USA,Undrafted,Undrafted,Undrafted
1631221,Collin Gillespie,1999-06-25T00:00:00,USA,Undrafted,Undrafted,Undrafted
1629012,Collin Sexton,1999-01-04T00:00:00,USA,2018,1,8
1630557,Corey Kispert,1999-03-03T00:00:00,USA,2021,1,15
202709,Cory Joseph,1991-08-20T00:00:00,Canada,2011,1,29
1641854,Craig Porter Jr.,2000-02-26T00:00:00,USA,Undrafted,Undrafted,Undrafted
1642385,Cui Yongxi,2003-05-28T00:00:00,China,Undrafted,Undrafted,Undrafted
1626156,D'Angelo Russell,1996-02-23T00:00:00,USA,2015,1,2
