Player_Name,Salary
Young  Trae Young,"$43,031,940"
Capela  Clint Capela,"$22,265,280"
LeVert  Caris LeVert,"$16,615,384"
Okongwu  Onyeka Okongwu,"$14,000,000"
Risacher  Zaccharie Risacher,"$12,569,040"
Mann  Terance Mann,"$11,423,077"
Nance Jr.  Larry Nance Jr.,"$11,205,000"
Niang  Georges Niang,"$8,500,000"
Daniels  Dyson Daniels,"$6,059,520"
Johnson  Jalen Johnson,"$4,510,905"
Bufkin  Kobe Bufkin,"$4,299,000"
Mathews  Garrison Mathews,"$2,230,253"
Krejci  Vit Krejci,"$2,162,606"
Gueye  Mouhamed Gueye,"$1,891,857"
Barlow  Dominick Barlow,"$491,887"
Brown  Jaylen Brown,"$49,205,800"
Tatum  Jayson Tatum,"$34,848,340"
Holiday  Jrue Holiday,"$30,000,000"
Porzingis  Kristaps Porzingis,"$29,268,293"
White  Derrick White,"$19,821,429"
Horford  Al Horford,"$9,500,000"
Pritchard  Payton Pritchard,"$6,696,429"
Scheierman  Baylor Scheierman,"$2,494,320"
Tillman  Xavier Tillman,"$2,237,691"
Queta  Neemias Queta,"$2,162,606"
Hauser  Sam Hauser,"$2,092,344"
Kornet  Luke Kornet,"$2,087,519"
Walsh  Jordan Walsh,"$1,891,857"
Craig  Torrey Craig,"$779,820"
Davison  J.D. Davison,"$11,997"
Claxton  Nicolas Claxton,"$27,556,817"
Johnson  Cameron Johnson,"$23,062,500"
Russell  D'Angelo Russell,"$18,692,307"
Melton  De'Anthony Melton,"$12,822,000"
Williams  Ziaire Williams,"$6,133,005"
Thomas  Cameron Thomas,"$4,041,249"
Sharpe  Day'Ron Sharpe,"$3,989,122"
Clowney  Noah Clowney,"$3,244,080"
Whitehead  Dariq Whitehead,"$3,114,240"
Watford  Trendon Watford,"$2,726,603"
Johnson  Keon Johnson,"$2,162,606"
Lewis  Maxwell Lewis,"$1,891,857"
Wilson  Jalen Wilson,"$1,891,857"
Martin  Tyrese Martin,"$635,853"
Timme  Drew Timme,"$113,055"
Ball  LaMelo Ball,"$35,147,000"
Bridges  Miles Bridges,"$27,173,913"
Nurkic  Jusuf Nurkic,"$18,125,000"
Williams  Grant Williams,"$13,025,250"
Green  Josh Green,"$12,654,321"
Miller  Brandon Miller,"$11,424,600"
Okogie  Josh Okogie,"$8,250,000"
Salaun  Tidjane Salaun,"$7,488,720"
Mann  Tre Mann,"$4,908,373"
Williams  Mark Williams,"$4,094,280"
Smith Jr.  Nick Smith Jr.,"$2,587,200"
Jeffries  DaQuan Jeffries,"$2,425,404"
Curry  Seth Curry,"$2,087,519"
Gibson  Taj Gibson,"$2,087,519"
Diabate  Moussa Diabate,"$957,763"
Ball  Lonzo Ball,"$21,395,348"
Vucevic  Nikola Vucevic,"$20,000,000"
Williams  Patrick Williams,"$18,000,000"
Huerter  Kevin Huerter,"$16,830,357"
Collins  Zach Collins,"$16,741,200"
White  Coby White,"$12,000,000"
Jones  Tre Jones,"$9,104,167"
